ICP e8(smallest denom),Eth wei(smallest denom),Btc Sat(smallest denom),Oro Reward = 888 tokens (e16),Adjusted Rewards (e16),Generator Accounts,Ephemeral Mint Cycle,Total Reward in Tokens per Account,Total Rewards Distributed in Cycle
100000000,100000000,100000000,8880000000000000000.0,9178991048285920.0,142875,52,0.917899104828592,131144.834602385
100000000,100000000,100000000,8880000000000000000.0,8031617167250182.0,142875,53,0.803161716725018,114751.730277087
100000000,100000000,100000000,8880000000000000000.0,7027665021343909.0,142875,54,0.702766502134391,100407.763992451
100000000,100000000,100000000,8880000000000000000.0,6149206893675920.0,142875,55,0.614920689367592,87856.7934933947
100000000,100000000,100000000,8880000000000000000.0,5380556031966430.0,142875,56,0.538055603196643,76874.6943067204
100000000,100000000,100000000,8880000000000000000.0,4707986527970626.0,142875,57,0.470798652797063,67265.3575183803
100000000,100000000,100000000,8880000000000000000.0,4119488211974298.0,142875,58,0.41194882119743,58857.1878285828
100000000,100000000,100000000,8880000000000000000.0,3604552185477511.0,142875,59,0.360455218547751,51500.0393500099
100000000,100000000,100000000,8880000000000000000.0,3153983162292822.0,142875,60,0.315398316229282,45062.5344312587
100000000,100000000,100000000,8880000000000000000.0,2759735267006219.0,142875,61,0.275973526700622,39429.7176273514
100000000,100000000,100000000,8880000000000000000.0,2414768358630440.0,142875,62,0.241476835863044,34501.0029239324
100000000,100000000,100000000,8880000000000000000.0,2112922313801640.0,142875,63,0.211292231380164,30188.3775584409
100000000,100000000,100000000,8880000000000000000.0,1848807024576430.0,142875,64,0.184880702457643,26414.8303636358
100000000,100000000,100000000,8880000000000000000.0,1617706146504380.0,142875,65,0.161770614650438,23112.9765681813
100000000,100000000,100000000,8880000000000000000.0,1415492878191330.0,142875,66,0.141549287819133,20223.8544971586
100000000,100000000,100000000,8880000000000000000.0,1238556268417410.0,142875,67,0.123855626841741,17695.8726850138
100000000,100000000,100000000,8880000000000000000.0,1083736734865240.0,142875,68,0.108373673486524,15483.8885993871
100000000,100000000,100000000,8880000000000000000.0,948269643007083.0,142875,69,0.0948269643007083,13548.4025244637
100000000,100000000,100000000,8880000000000000000.0,829735937631197.0,142875,70,0.0829735937631197,11854.8522089057
100000000,100000000,100000000,8880000000000000000.0,726018945427298.0,142875,71,0.0726018945427298,10372.9956827925
100000000,100000000,100000000,8880000000000000000.0,635266577248886.0,142875,72,0.0635266577248886,9076.37122244345
100000000,100000000,100000000,8880000000000000000.0,555858255092775.0,142875,73,0.0555858255092775,7941.82481963802
100000000,100000000,100000000,8880000000000000000.0,486375973206178.0,142875,74,0.0486375973206178,6949.09671718327
100000000,100000000,100000000,8880000000000000000.0,425578976555406.0,142875,75,0.0425578976555406,6080.45962753536
100000000,100000000,100000000,8880000000000000000.0,372381604485980.0,142875,76,0.037238160448598,5320.40217409344
100000000,100000000,100000000,8880000000000000000.0,325833903925233.0,142875,77,0.0325833903925233,4655.35190233176
100000000,100000000,100000000,8880000000000000000.0,285104665934579.0,142875,78,0.0285104665934578,4073.43291454029
100000000,100000000,100000000,8880000000000000000.0,249466582692756.0,142875,79,0.0249466582692756,3564.25380022275
100000000,100000000,100000000,8880000000000000000.0,218283259856162.0,142875,80,0.0218283259856162,3118.72207519491
